tư_vấn thuốc huyết_áp	chào bác sỹ cho tôi hỏi thuốc huyết_áp savi dopril có làm tăng nhịp tim khi uống không ả 
xin tư_vấn da_liễu	chào bs cách đây khoảng tháng trên mặt e có nổi một mảng đỏ nhỏ sờ vào cảm_giác hơi sần_sùi khi rửa mặt hoặc dùng kem ẩm là hết sau đó lại sần trở_lại không đau không ngứa xin bác_sĩ tư_vấn giúp 
tư_vấn kết_quả xét_nghiệm máu	kính đề_nghị bs tư_vấn kết_quả xét_nghiệm máu trân_trọng cảm_ơn 
viêm_gan b	bác_sĩ tư_vấn về các chỉ_số như ảnh tôi làm xét_nghiệm lần và lần có kết_quả như vậy 
chi_phí điều_trị bệnh trĩ bằng hcpt	em bị trĩ độ cho em hỏi cách chữa_trị ntn có cần_thiết phải phẫu_thuật bằng hcpt ko và chi_phí ntn 
nội xoi dạ_dày đại_tràng	tôi muốn nội_soi da_dày đại trang cần kiêng gì không ah 
dạ_dày	bs oi cho e hoi e bi ợ hoi buồn_nôn cảm_thấy vướng_mắc o cô do_co phai la dau da_day ko a 
viêm hậu_môn	xin bác_sĩ cho em biết cách phòng và điều_trị bệnh viêm hậu_môn vì thỉnh_thoảng đi vệ_sinh em thấy đau xung_quanh hậu_môn có những khía màu_trắng và hơi ngứa hiện_tượng này có vài hôm thì hết em xin cảm_ơn 
dị_ứng sau khi dùng mỹ_phẩm	em dùng thử một loại mỹ_phẩm mới vào buổi trưa đến chiều thì mặt em bị mẩn ngứa ở phần da dưới má đến tối thì hai bên má thậm chí cả mặt đều nóng rát em phải làm gì bây_giờ 
ỉa_chảy	tôi suốt ngày đi ỉa ăn cơm song là đi hoặc ăn đồ tanh mỡ trứng 
bị ngứa	thua bác_sĩ bac cho chau_hoi la chau bi ngua mấy tháng nay rồi bệnh cua chau la bi benh j a người ta bảo la chau bi nóng trong nhưng co phải nhu vay ko a bac_si 
trị mụn	trẻ_em tuổi dậy_thì có được sử_dụng bộ acnes s ko bác_sĩ 
da đâ u bi mê m	ba c si tư vâ n du m da đâ u tui bi mê m trên đi nh đâ u la bi dê nh gi vây dâ u hiê u đu ng vô không dau không sưng da đâ u ma u să t bi nh thươ ng a 
hỏi thuốc	thuốc natracare rang bột gói hộp có tác dung gi 
giải_đáp thắc_mắc	xin bs đọc giúp kết_quả xn nhờ bs giải_thích các thông_số 
nhờ bác_sĩ chuyên dinh_dưỡng nhi đọc tư_vấn kết_quả xét_nghiệm máu của bé có được không	mình có cháu bé được tháng tuổi muốn xn máu để khám dinh_dưỡng xem cháu có thừa thiếu chất nào không và hướng_dẫn cách bổ_sung ăn uống cho bé cho mình hỏi nếu mình đặt làm xn máu ở medlatec thì có bs chuyên về sinh_dưỡng nhi_khoa đọc kết_quả và tư_vấn dinh_dưỡng giúp mình không hay mình sẽ phải tự tra_cứu kết_quả 
xét_nghiệm vitamin d	thưa bác_sĩ gần_đây em có đi xét_nghiệm về vitamin d thì kết_quả chỉ_số ở mức ng ml em có đọc bài_viết về vitamin d ở đây https medlatec vn chi tiet can lam sang y nghia lam sang cua xet nghiem vitamin d aspx trong các triệu_chứng thì em cảm_thấy mệt_mỏi thường_xuyên mặc dù ăn uống đầy_đủ và thể_thao đều_đặn vậy cho em hỏi có phải em đang thiếu vitamin d và cần được bổ_sung như thế nào ạ sau khi bổ_sung thì nên đi kiểm_tra lại định_kỳ bao lâu lần ạ cảm_ơn bác_sĩ 
kiểm_tra dinh_dưỡng	chào bác sỹ hiện tôi tuổi cao m nặng kg vì vậy tôi muốn kiểm_tra chế_độ dinh_dưỡng cơ_thể thiếu và cần bổ_sung những gì mong bác sỹ tư_vấn giúp tôi xin chân_thành cảm_ơn bác sỹ và bệnh_viện 
sức_khoẻ hàng ngày	bác_sĩ ơi dạo gần_đây cháu luôn trong tình_trạng mệt_mỏi chán ăn mắt đôi khi hơi hoa_mắt đầu_óc lúc nào cũng trong tình_trạng lú_lẫn lơ_mơ cho cháu hỏi cháu bị làm sao ạ cháu còn bị chán ăn nữa xin bác_sĩ chuẩn đoán cho cháu và cho cháu phương_pháp điều_trị chái xin cảm_ơn 
các chỉ_số dinh_dưỡng của trẻ sau khi có kết_quả xét_nghiệm máu	chào bác_sĩ con tôi hiện_nay được tuổi cháu có hiện_tượng rụng tóc vành khăn khá nặng gia_đình nghi cháu có thể bị thiếu canxi nên đã tiến_hành xét_nghiệm máu ở bệnh_viện và nhận được kết_quả là nồng_độ sắt huyết_thanh mmol l canxi là mmol l canxi ion là mmol l nhờ bác_sĩ tư_vấn các chỉ_số trên là như thế nào ạ 
tư_vấn dinh_dưỡng	thưa bác sỹ e xin đc bsy tư_vấn giúp e ah e có con_trai năm nay tuổi cao cm nặng kg con rất gầy con ăn uống bình_thường nhưng cách đây năm con bị bệnh đau dạ_dày có vi_khuẩn hp từ đó trở đi mặc dù e đi khám dinh_dưỡng bổ_sung cho cháu nhưng cháu vẫn ko cải_thiện vậy nhờ bsy tư_vấn cho e với ah 
tư_vấn dinh_dưỡng cho bé	e chào các bác sỹ ạ bé nhà e hiện_tại được tháng ngày bé đi phân cứ nhão_nhoẹt như cháo xay í ạ ngày đi lần có ngày đi lần hiện_tại bé nhà e đang ăn dặm ngày ăn bữa sáng e nấu cháo xay cho bé bữa_trưa và tối thì e cho bé ăn bột ăn dặm redialac thỉnh_thoảng buổi tối e nấu cho bé ăn trước bé tháng e cho bé ăn bột redialac phân bình_thường nhưng tháng nay bé đi phân nhão_nhoẹt như cháo xay bác sỹ cho e hỏi chế_độ ăn của bé như vậy có được k ạ ngày và phân bé đi như thế có bị loạn khuẩn k ạ sáng_mai bé ị e gửi mẫu phân đến trung_tâm mình để xét_nghiệm e cám_ơn các bac sỹ 
gan nhiễm mỡ độ ii	tuổi nghề_nghiệp làm_việc máy_tính siêu_âm gan nhiễm mỡ độ kết_quả xét_nghiệm thì máu không nhiễm mỡ không bị tiểu_đường đang nuôi con nhỏ tháng gan nhiễm mỡ độ cao m kg đang nuôi con bú tháng thì cần có chế_độ ăn uống như thế nào để giảm mỡ mà vẫn có sữa cho con xin cảm_ơn 
nhờ bác_sĩ tư_vấn kết_quả xét_nghiệm	họ và tên nguyễn thị vinh đơn_vị văn_phòng ba_đình năm sinh giới_tính nữ địa_chỉ thẻ khách_hàng mã xét_nghiệm ngày xét_nghiệm bác_sĩ chỉ_định điện_thoại trạng_thái đủ kết_quả chẩn_đoán kiểm_tra danh_mục khám kết_quả đơn_vị chỉ_số bình_thường ghi_chú đơn_giá tổng phân_tích máu chỉ_số đt tuổi số_lượng bạch_cầu wbc g l số_lượng hồng_cầu rbc t l lượng huyết_sắc_tố hb g dl giảm xem chi_tiết thể_tích khối hồng_cầu hct giảm xem chi_tiết thể_tích trung_bình hc mcv fl lượng hb trung_bình hc mch pg nồng_độ hb trung_bình hc mchc g dl độ phân_bố hc rdw cv số_lượng tiểu_cầu plt g l thể_tích trung_bình tiểu_cầu mpv fl thể_tích khối tiểu_cầu pct độ phân_bố tc pdw tỷ_lệ bạch_cầu trung_tính tỷ_lệ bạch_cầu lympho tỷ_lệ bạch_cầu mono tăng xem chi_tiết tỷ_lệ bạch_cầu ái toan tỷ_lệ bạch_cầu ái kiềm lympho không điển_hình tb non lớn số_lượng bạch_cầu trung_tính g l số_lượng bạch_cầu lympho g l số_lượng bạch_cầu mono g l số_lượng bạch_cầu ái toan g l số_lượng bạch_cầu ái kiềm g l sl lympho không điển_hình g l sl tb non lớn g l bc đa nhân non lympho non bc mono non sl bc đa nhân non g l sl bc lympho non g l sl bc lympho non g l sl bc mono non g l ast architect u l alt architect u l bilirubin toàn_phần cobas mol l bilirubin trực_tiếp cobas mol l gamma gt architect u l protein máu architect g l glucose máu cobas mmol l hba c ure máu architect mmol l creatinin máu architect mol l uric acid máu cobas mol l triglyceride architect mmol l tăng xem chi_tiết cholesterol architect mmol l hdl cholesterol architect mmol l giảm xem chi_tiết ldl cholesterol architect mmol l điện_giải đồ na k cl natri máu architect mmol l kali máu architect mmol l clo máu architect mmol l calci máu architect mmol l calci ion architect mmol l hbsag cobas coi âm_tính xem chi_tiết afp architect ng ml ca cobas u ml ca cobas u ml ca architect u ml cea architect ng ml ft cobas pmol l tsh cobas u ml tổng phân_tích nước tiểu tỉ_trọng ph bạch_cầu âm_tính bc l âm_tính nitrite âm_tính âm_tính protein nước tiểu âm_tính mg dl âm_tính glucose nước tiểu âm_tính mg dl âm_tính ketone âm_tính mg dl âm_tính urobilinogen âm_tính mg dl âm_tính bilirubin nước tiểu âm_tính mg dl âm_tính hồng_cầu ery ul hc l âm_tính cao xem chi_tiết axit ascorbic âm_tính mg dl âm_tính cặn nước tiểu tb biểu_mô hồng_cầu 
bệnh tê nửa người	như hiện_tại tôi đã đi chụp cộng_hưởng từ thì bác sỹ ở đại_học kết_luận tôi bị thái hóa não và có hiện_tượng của chảy máu não và kê dơn thuốc cho tôi sau tháng uống thuốc theo đơn thì tình_trạng của bệnh k thuyên_giảm mà chiệu chứng tê chân và nóng nửa nguwoif càng tăng vậy tôi đang bị bệnh gì xin cảm_ơn 
xin tư_vấn về hiện_tượng mất_ngủ chóng_mặt đau đầu ngủ không sâu hay mơ	tôi có hiện_tượng như ngủ không sâu hay mơ_màng chóng_mặt đau đầu hôm_nay lấy máu xét_nghiệm có kết_quả nồng_độ hb trung_bình thấp số_lượng bạch_cầu trung_tính giảm tỷ_lệ bạch_cầu trung_tính giảm xin bác sỹ tư_vấn có phải tôi bị thiếu máu mà có các hiện_tượng kia không hàng ngày tôi có dùng một số thực_phẩm chức_năng như viên hoạt huyết dưỡng não viên mát gan hoa ké ngựa viên lutein bổ mắt và tảo soắn cám_ơn bác sỹ 
nguyên_nhân sút cân ăn kém	một tháng trở_lại đây tôi thấy ăn uống kém kèm theo gày sút cân vậy xin bác sỹ tư_vấn cho tôi cần thăm khám như thế nào 
bệnh nói thì_thào khi ngủ	chào bác_sĩ tôi muốn nhờ bác_sĩ tư_vấn hộ trường_hợp của bố tôi bố tôi năm nay tuổi bị lẫn nhẹ nhưng vẫn tỉnh_táo sinh_hoạt bình_thường cụ vẫn làm các công_việc nhà như nấu cơm đi chợ dọn_dẹp vườn_tược nhà_cửa tuy nhiên thời_gian gần_đây tôi phát_hiện cụ cứ ngủ là nói thì_thào một mình cụ nói thì_thào suốt cả đêm cứ đặt lưng xuống là cụ thì_thào thậm chí khi xem tivi cụ mệt nên nhắm mắt lơ_mơ là lại nói thì_thào ban_đêm cụ dậy đi vệ_sinh vẫn tỉnh_táo bình_thường nhưng quay về giường đặt lưng xuống là lại thấy cụ thì_thào ghé sát vào vẫn nghe rõ câu chữ cụ nói như đang nói_chuyện với một người khác sáng ra tôi hỏi cụ có mơ gì không nhưng cụ nói không mơ gì vẫn ngủ ngon cụ bị như thế một thời_gian rồi đêm nào cũng nói suốt đêm như vậy tôi rất lo_cho sức_khỏe của bố tôi vì nói thì_thào suốt đêm như vậy sẽ rất mệt tôi nhờ bác_sĩ tư_vấn xem bố tôi bị bệnh gì và chữa_trị như thế nào xin cảm_ơn bác_sĩ 
chứng đau nửa đầu	đầu tôi thường_xuyên bị nặng nửa đầu bên phải bác_sĩ tư_vấn giúp tôi ạ 
khám bệnh cho người_già	bố tôi năm nay đã tuổi trước tết bố tôi có bị ngã và gãy đốt ngón_tay phải đã bó_bột tại bệnh_viện việt đức chụp lại xương có tiến_triển tốt bình_thường bố tôi cũng có những đợt đau và choáng đầu chỉ loanh_quanh trong nhà một lúc lại nằm nghỉ ông vấn uống hoạt huyết dưỡng não hiện_tại bố tôi đang cảm_thấy hay đau đầu khó_chịu đầy bụng chán ăn gia_đình định đưa ông đi khám ở bệnh_viện nhưng sợ ông mệt vì ông không ngồi và đi lại được lâu cách đây khoảng tháng bố tôi cũng đã xét_nghiệm các chỉ_số máu chỉ bị mỡ_máu hơi cao một chút huyết_áp hàng ngày của bố tôi cao nhất thường từ nhịp tim mấy hôm gần_đây có hôm lên theo bác_sĩ thì gia_đình tôi nên đưa bố tôi vào viện hay nhờ bác_sĩ về khám tại nhà 
tư_vấn khám và chữa bệnh	kính gửi bác sỹ tôi có một nội_dung muốn bs tư_vấn như sau bố tôi năm nay tuổi từ ngày đến hôm_này mùng tết bố tôi thấy trong người mệt_mỏi chỉ muốn nằm không muốn ăn uống gì tôi rất lo_lắng muốn đưa ông đi khám tại bệnh_viện biểu_hiện của bố tôi là người mệt_mỏi hơn mức bình_thường sắc da không tốt hơi xanh bố tôi đang bị bệnh viêm_khớp trước đây khi đi bộ_đội có bị sốt_rét vậy theo bs với các biểu_hiện trên thì tình_hình sức_khỏe của bố tôi như thế nào có thể bị bênh gì và kế_hoạch khám xét_nghiệm ở đâu để có pháp đồ điều_trị tốt nhất qua giới thiêu của anh em bạn_bè thấy medlatec có nhiều kinh_nghiệm trong vấn_đề khám bệnh mong bs cho gia_đình tôi một lời_khuyên trân_trọng cảm_ơn 
tiền_liệt tuến	tôi hay bị đi tiểu đêm đi siêu_âm bác sỹ bảo có phì_đại tiền_liệt tuyến xin bác sỹ tư_vấn cần điều_trị như thế nào 
phì_đại tiền_liệt tuyến	tôi gần_đây hay bị đi tiểu đêm tôi mới đi khám và trong đó có siêu_âm thì được kết_luận phì_đại tiền_liệt tuyến vậy xin bác sỹ tư_vấn về điều_trị 
xin tư vân về lão_khoa	chào b sỹ tôi mấy hôm_nay có hiện_tượng đầu cứ bí bí đi lại cứ chòng_chành như say sóng mất thăng_bằng xin b sỹ tư_vấn tôi bệnh gì và cách điều_trị thế nào xin cảm_ơn 
da thi t đi nh đâ u nhu n	tôi hay bi nhu n lu ng bu ng trên đi nh đâ u ma u să c da bi nh thươ ng thơ i tre co lu c đau đâ u sau đo tư kho i bây giơ không đau đâ u xin đươ c tư vâ n 
tiền_liệt tuyến	tôi đi siêu_âm bác sỹ nói bị phì_đại tiền_liệt tuyến xin bác sỹ tư_vấn tôi có cần điều_trị gì không 
bệnh cao huyết_áp	bệnh này nguyên_nhân do đâu và chế_độ ăn uống hợp_lý như thế nào cách phòng tránh như thế nào khi huyết_áp tăng dột biến trước khi đưa đến bệnh_viện 
sụt ký ngứa	chào bác_sĩ mấy năm nay tôi bị cao huyết_áp thoái hoá khớp và thường_xuyên bị mất_ngủ gần năm nay tôi có triệu_chứng sụt ký nhanh và ngứa ngái lúc trước ngứa trên đầu giờ ngứa luôn cả lưng và bụng tôi rất lo_lắng nên đi bv xét_nghiệm tổng_quát đường thì bình_thường men gan cũng không cao nước tiểu và thận cũng rất tốt có điều tôi bị mỡ trong máu và năng_lượng tích_trữ lần trước hơi cao nhưng lần xét_nghiệm này cũng gỉam được đôi_chút ở nhà tôi rất hạn_chế ăn đồ_ngọt và tinh_bột tôi cũng đã đi da_liễu uống thuốc rất nhiều lần không hết tôi rất lo_lắng cho chứng mất_ngủ sụt cân và ngứa của tôi 
hỏi về các công số xét_nghiệm máu	chào anh chị tôi vừa xét_nghiệm máu tại bệnh_viện ngày hôm_nay kết quà tôi thấy có mấy thông_số cao hoặc giảm hơn mức bình_thường cụ_thể là số_lượng huyết_sắc_tố hb giảm tỷ_lệ bạch_cầu mono tăng triglyceride mmol l tăng vậy các thông_số trên tăng hoặc giảm có đắng lo lắm không và chỉ cho tôi cách để các thông_số đó nằm trong mức cho_phép trân_trọng cám_ơn 
hỏi về nội_soi dạ_dày	gửi bác_sĩ bác_sĩ cho tôi hỏi tôi muốn nội_soi dạ_dày thì tại medlatec có các loại nội_soi nào tôi muốn nội_soi qua đường mũi có được không và chi_phí bao nhiêu nếu tôi bị viêm mũi nhẹ thì có nội_soi được đường mũi k ạ cảm_ơn bác_sĩ 
